Timestamp_Local,IP,Index,Parameter_Name,Value,Unit,Demand Current,Demand Power,Demand Apparent Power,Projected #1 Demand Current,Projected #1 Demand Power,Projected #1 Demand Reactive Power,Projected #1 Demand Apparent Power,Projected #2 Demand Current,Projected #2 Demand Power,Projected #2 Demand Reactive Power,Projected #2 Demand Apparent Power,Projected #3 Demand Current,Projected #3 Demand Power,Projected #3 Demand Reactive Power,Projected #3 Demand Apparent Power,Elapsed Time
(units),,,,,,A,W,VA,A,W,VAR,VA,A,W,VAR,VA,A,W,VAR,VA,s
2026-05-11T18:32:56Z,10.16.130.50,11,Projected #2 Demand Power,51.849174,W,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,12,Projected #2 Demand Reactive Power,341936.4375,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,13,Projected #2 Demand Apparent Power,178813.84375,VA,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,14,Projected #3 Demand Current,386915.0625,A,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,15,Projected #3 Demand Power,72.233688,W,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,16,Projected #3 Demand Reactive Power,419651.5,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,17,Projected #3 Demand Apparent Power,360364.3125,VA,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,18,Elapsed Time,537429.0625,s,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,1,Date,12/5/2012,,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,2,Time,21:11:02,,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,3,Demand Current,49.191601,A,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,4,Demand Power,331229.53125,W,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,5,Demand Apparent Power,157337.421875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,6,Projected #1 Demand Current,367524.78125,A,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,7,Projected #1 Demand Power,49.789505,W,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,8,Projected #1 Demand Reactive Power,333748.78125,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,9,Projected #1 Demand Apparent Power,161405.484375,VA,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,10,Projected #2 Demand Current,371920.65625,A,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,11,Projected #2 Demand Power,51.854595,W,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,12,Projected #2 Demand Reactive Power,342697.9375,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,13,Projected #2 Demand Apparent Power,177665.96875,VA,,,,,,,,,,,,,,,,
